"","word","participant","language","l1","step","u0s","b0"
"1",1,1,"hungarian","english",7,0.309167931156205,0.847297860387203
"2",2,1,"hungarian","english",7,-0.449538542163241,0.847297860387203
"3",3,1,"hungarian","english",7,0.443824724446951,0.847297860387203
"4",4,1,"hungarian","english",7,-0.115017282548619,0.847297860387203
"5",5,1,"hungarian","english",7,0.347053279628783,0.847297860387203
"6",6,1,"hungarian","english",7,-0.254619890881052,0.847297860387203
"7",7,1,"hungarian","english",7,0.263522919151261,0.847297860387203
"8",8,1,"hungarian","english",7,-0.574001839930419,0.847297860387203
"9",9,1,"hungarian","english",7,-0.250457743405163,0.847297860387203
"10",10,1,"hungarian","english",7,0.349398240817785,0.847297860387203
"11",1,2,"hungarian","english",7,0.309167931156205,0.847297860387203
"12",2,2,"hungarian","english",7,-0.449538542163241,0.847297860387203
"13",3,2,"hungarian","english",7,0.443824724446951,0.847297860387203
"14",4,2,"hungarian","english",7,-0.115017282548619,0.847297860387203
"15",5,2,"hungarian","english",7,0.347053279628783,0.847297860387203
"16",6,2,"hungarian","english",7,-0.254619890881052,0.847297860387203
"17",7,2,"hungarian","english",7,0.263522919151261,0.847297860387203
"18",8,2,"hungarian","english",7,-0.574001839930419,0.847297860387203
"19",9,2,"hungarian","english",7,-0.250457743405163,0.847297860387203
"20",10,2,"hungarian","english",7,0.349398240817785,0.847297860387203
"21",1,3,"hungarian","english",7,0.309167931156205,0.847297860387203
"22",2,3,"hungarian","english",7,-0.449538542163241,0.847297860387203
"23",3,3,"hungarian","english",7,0.443824724446951,0.847297860387203
"24",4,3,"hungarian","english",7,-0.115017282548619,0.847297860387203
"25",5,3,"hungarian","english",7,0.347053279628783,0.847297860387203
"26",6,3,"hungarian","english",7,-0.254619890881052,0.847297860387203
"27",7,3,"hungarian","english",7,0.263522919151261,0.847297860387203
"28",8,3,"hungarian","english",7,-0.574001839930419,0.847297860387203
"29",9,3,"hungarian","english",7,-0.250457743405163,0.847297860387203
"30",10,3,"hungarian","english",7,0.349398240817785,0.847297860387203
"31",1,4,"hungarian","english",7,0.309167931156205,0.847297860387203
"32",2,4,"hungarian","english",7,-0.449538542163241,0.847297860387203
"33",3,4,"hungarian","english",7,0.443824724446951,0.847297860387203
"34",4,4,"hungarian","english",7,-0.115017282548619,0.847297860387203
"35",5,4,"hungarian","english",7,0.347053279628783,0.847297860387203
"36",6,4,"hungarian","english",7,-0.254619890881052,0.847297860387203
"37",7,4,"hungarian","english",7,0.263522919151261,0.847297860387203
"38",8,4,"hungarian","english",7,-0.574001839930419,0.847297860387203
"39",9,4,"hungarian","english",7,-0.250457743405163,0.847297860387203
"40",10,4,"hungarian","english",7,0.349398240817785,0.847297860387203
"41",1,5,"hungarian","english",7,0.309167931156205,0.847297860387203
"42",2,5,"hungarian","english",7,-0.449538542163241,0.847297860387203
"43",3,5,"hungarian","english",7,0.443824724446951,0.847297860387203
"44",4,5,"hungarian","english",7,-0.115017282548619,0.847297860387203
"45",5,5,"hungarian","english",7,0.347053279628783,0.847297860387203
"46",6,5,"hungarian","english",7,-0.254619890881052,0.847297860387203
"47",7,5,"hungarian","english",7,0.263522919151261,0.847297860387203
"48",8,5,"hungarian","english",7,-0.574001839930419,0.847297860387203
"49",9,5,"hungarian","english",7,-0.250457743405163,0.847297860387203
"50",10,5,"hungarian","english",7,0.349398240817785,0.847297860387203
"51",1,6,"hungarian","english",7,0.309167931156205,0.847297860387203
"52",2,6,"hungarian","english",7,-0.449538542163241,0.847297860387203
"53",3,6,"hungarian","english",7,0.443824724446951,0.847297860387203
"54",4,6,"hungarian","english",7,-0.115017282548619,0.847297860387203
"55",5,6,"hungarian","english",7,0.347053279628783,0.847297860387203
"56",6,6,"hungarian","english",7,-0.254619890881052,0.847297860387203
"57",7,6,"hungarian","english",7,0.263522919151261,0.847297860387203
"58",8,6,"hungarian","english",7,-0.574001839930419,0.847297860387203
"59",9,6,"hungarian","english",7,-0.250457743405163,0.847297860387203
"60",10,6,"hungarian","english",7,0.349398240817785,0.847297860387203
"61",1,7,"hungarian","english",7,0.309167931156205,0.847297860387203
"62",2,7,"hungarian","english",7,-0.449538542163241,0.847297860387203
"63",3,7,"hungarian","english",7,0.443824724446951,0.847297860387203
"64",4,7,"hungarian","english",7,-0.115017282548619,0.847297860387203
"65",5,7,"hungarian","english",7,0.347053279628783,0.847297860387203
"66",6,7,"hungarian","english",7,-0.254619890881052,0.847297860387203
"67",7,7,"hungarian","english",7,0.263522919151261,0.847297860387203
"68",8,7,"hungarian","english",7,-0.574001839930419,0.847297860387203
"69",9,7,"hungarian","english",7,-0.250457743405163,0.847297860387203
"70",10,7,"hungarian","english",7,0.349398240817785,0.847297860387203
"71",1,8,"hungarian","english",7,0.309167931156205,0.847297860387203
"72",2,8,"hungarian","english",7,-0.449538542163241,0.847297860387203
"73",3,8,"hungarian","english",7,0.443824724446951,0.847297860387203
"74",4,8,"hungarian","english",7,-0.115017282548619,0.847297860387203
"75",5,8,"hungarian","english",7,0.347053279628783,0.847297860387203
"76",6,8,"hungarian","english",7,-0.254619890881052,0.847297860387203
"77",7,8,"hungarian","english",7,0.263522919151261,0.847297860387203
"78",8,8,"hungarian","english",7,-0.574001839930419,0.847297860387203
"79",9,8,"hungarian","english",7,-0.250457743405163,0.847297860387203
"80",10,8,"hungarian","english",7,0.349398240817785,0.847297860387203
"81",1,9,"hungarian","english",7,0.309167931156205,0.847297860387203
"82",2,9,"hungarian","english",7,-0.449538542163241,0.847297860387203
"83",3,9,"hungarian","english",7,0.443824724446951,0.847297860387203
"84",4,9,"hungarian","english",7,-0.115017282548619,0.847297860387203
