"","word","participant","language","l1","step","u0s","b0"
"1",1,1,"french","english",1,-0.0454978233338815,-2.19722457733622
"2",2,1,"french","english",1,0.0638194868742747,-2.19722457733622
"3",3,1,"french","english",1,-0.133739075961057,-2.19722457733622
"4",4,1,"french","english",1,0.680551477025408,-2.19722457733622
"5",5,1,"french","english",1,-0.16058589878316,-2.19722457733622
"6",6,1,"french","english",1,-0.622485582574923,-2.19722457733622
"7",7,1,"french","english",1,0.483746654825741,-2.19722457733622
"8",8,1,"french","english",1,-0.376889218093206,-2.19722457733622
"9",9,1,"french","english",1,-0.625853798806966,-2.19722457733622
"10",10,1,"french","english",1,0.0295640770113542,-2.19722457733622
"11",1,2,"french","english",1,-0.0454978233338815,-2.19722457733622
"12",2,2,"french","english",1,0.0638194868742747,-2.19722457733622
"13",3,2,"french","english",1,-0.133739075961057,-2.19722457733622
"14",4,2,"french","english",1,0.680551477025408,-2.19722457733622
"15",5,2,"french","english",1,-0.16058589878316,-2.19722457733622
"16",6,2,"french","english",1,-0.622485582574923,-2.19722457733622
"17",7,2,"french","english",1,0.483746654825741,-2.19722457733622
"18",8,2,"french","english",1,-0.376889218093206,-2.19722457733622
"19",9,2,"french","english",1,-0.625853798806966,-2.19722457733622
"20",10,2,"french","english",1,0.0295640770113542,-2.19722457733622
"21",1,3,"french","english",1,-0.0454978233338815,-2.19722457733622
"22",2,3,"french","english",1,0.0638194868742747,-2.19722457733622
"23",3,3,"french","english",1,-0.133739075961057,-2.19722457733622
"24",4,3,"french","english",1,0.680551477025408,-2.19722457733622
"25",5,3,"french","english",1,-0.16058589878316,-2.19722457733622
"26",6,3,"french","english",1,-0.622485582574923,-2.19722457733622
"27",7,3,"french","english",1,0.483746654825741,-2.19722457733622
"28",8,3,"french","english",1,-0.376889218093206,-2.19722457733622
"29",9,3,"french","english",1,-0.625853798806966,-2.19722457733622
"30",10,3,"french","english",1,0.0295640770113542,-2.19722457733622
"31",1,4,"french","english",1,-0.0454978233338815,-2.19722457733622
"32",2,4,"french","english",1,0.0638194868742747,-2.19722457733622
"33",3,4,"french","english",1,-0.133739075961057,-2.19722457733622
"34",4,4,"french","english",1,0.680551477025408,-2.19722457733622
"35",5,4,"french","english",1,-0.16058589878316,-2.19722457733622
"36",6,4,"french","english",1,-0.622485582574923,-2.19722457733622
"37",7,4,"french","english",1,0.483746654825741,-2.19722457733622
"38",8,4,"french","english",1,-0.376889218093206,-2.19722457733622
"39",9,4,"french","english",1,-0.625853798806966,-2.19722457733622
"40",10,4,"french","english",1,0.0295640770113542,-2.19722457733622
"41",1,5,"french","english",1,-0.0454978233338815,-2.19722457733622
"42",2,5,"french","english",1,0.0638194868742747,-2.19722457733622
"43",3,5,"french","english",1,-0.133739075961057,-2.19722457733622
"44",4,5,"french","english",1,0.680551477025408,-2.19722457733622
"45",5,5,"french","english",1,-0.16058589878316,-2.19722457733622
"46",6,5,"french","english",1,-0.622485582574923,-2.19722457733622
"47",7,5,"french","english",1,0.483746654825741,-2.19722457733622
"48",8,5,"french","english",1,-0.376889218093206,-2.19722457733622
"49",9,5,"french","english",1,-0.625853798806966,-2.19722457733622
"50",10,5,"french","english",1,0.0295640770113542,-2.19722457733622
"51",1,6,"french","english",1,-0.0454978233338815,-2.19722457733622
"52",2,6,"french","english",1,0.0638194868742747,-2.19722457733622
"53",3,6,"french","english",1,-0.133739075961057,-2.19722457733622
"54",4,6,"french","english",1,0.680551477025408,-2.19722457733622
"55",5,6,"french","english",1,-0.16058589878316,-2.19722457733622
"56",6,6,"french","english",1,-0.622485582574923,-2.19722457733622
"57",7,6,"french","english",1,0.483746654825741,-2.19722457733622
"58",8,6,"french","english",1,-0.376889218093206,-2.19722457733622
"59",9,6,"french","english",1,-0.625853798806966,-2.19722457733622
"60",10,6,"french","english",1,0.0295640770113542,-2.19722457733622
"61",1,7,"french","english",1,-0.0454978233338815,-2.19722457733622
"62",2,7,"french","english",1,0.0638194868742747,-2.19722457733622
"63",3,7,"french","english",1,-0.133739075961057,-2.19722457733622
"64",4,7,"french","english",1,0.680551477025408,-2.19722457733622
"65",5,7,"french","english",1,-0.16058589878316,-2.19722457733622
"66",6,7,"french","english",1,-0.622485582574923,-2.19722457733622
"67",7,7,"french","english",1,0.483746654825741,-2.19722457733622
"68",8,7,"french","english",1,-0.376889218093206,-2.19722457733622
"69",9,7,"french","english",1,-0.625853798806966,-2.19722457733622
"70",10,7,"french","english",1,0.0295640770113542,-2.19722457733622
"71",1,8,"french","english",1,-0.0454978233338815,-2.19722457733622
"72",2,8,"french","english",1,0.0638194868742747,-2.19722457733622
"73",3,8,"french","english",1,-0.133739075961057,-2.19722457733622
"74",4,8,"french","english",1,0.680551477025408,-2.19722457733622
"75",5,8,"french","english",1,-0.16058589878316,-2.19722457733622
"76",6,8,"french","english",1,-0.622485582574923,-2.19722457733622
"77",7,8,"french","english",1,0.483746654825741,-2.19722457733622
"78",8,8,"french","english",1,-0.376889218093206,-2.19722457733622
"79",9,8,"french","english",1,-0.625853798806966,-2.19722457733622
"80",10,8,"french","english",1,0.0295640770113542,-2.19722457733622
"81",1,9,"french","english",1,-0.0454978233338815,-2.19722457733622
"82",2,9,"french","english",1,0.0638194868742747,-2.19722457733622
"83",3,9,"french","english",1,-0.133739075961057,-2.19722457733622
"84",4,9,"french","english",1,0.680551477025408,-2.19722457733622
"85",5,9,"french","english",1,-0.16058589878316,-2.19722457733622
"86",6,9,"french","english",1,-0.622485582574923,-2.19722457733622
"87",7,9,"french","english",1,0.483746654825741,-2.19722457733622
"88",8,9,"french","english",1,-0.376889218093206,-2.19722457733622
"89",9,9,"french","english",1,-0.625853798806966,-2.19722457733622
"90",10,9,"french","english",1,0.0295640770113542,-2.19722457733622
"91",1,10,"french","english",1,-0.0454978233338815,-2.19722457733622
"92",2,10,"french","english",1,0.0638194868742747,-2.19722457733622
"93",3,10,"french","english",1,-0.133739075961057,-2.19722457733622
"94",4,10,"french","english",1,0.680551477025408,-2.19722457733622
"95",5,10,"french","english",1,-0.16058589878316,-2.19722457733622
"96",6,10,"french","english",1,-0.622485582574923,-2.19722457733622
"97",7,10,"french","english",1,0.483746654825741,-2.19722457733622
"98",8,10,"french","english",1,-0.376889218093206,-2.19722457733622
"99",9,10,"french","english",1,-0.625853798806966,-2.19722457733622
"100",10,10,"french","english",1,0.0295640770113542,-2.19722457733622
"101",1,11,"french","english",1,-0.0454978233338815,-2.19722457733622
"102",2,11,"french","english",1,0.0638194868742747,-2.19722457733622
"103",3,11,"french","english",1,-0.133739075961057,-2.19722457733622
"104",4,11,"french","english",1,0.680551477025408,-2.19722457733622
"105",5,11,"french","english",1,-0.16058589878316,-2.19722457733622
"106",6,11,"french","english",1,-0.622485582574923,-2.19722457733622
"107",7,11,"french","english",1,0.483746654825741,-2.19722457733622
"108",8,11,"french","english",1,-0.376889218093206,-2.19722457733622
"109",9,11,"french","english",1,-0.625853798806966,-2.19722457733622
"110",10,11,"french","english",1,0.0295640770113542,-2.19722457733622
"111",1,12,"french","english",1,-0.0454978233338815,-2.19722457733622
"112",2,12,"french","english",1,0.0638194868742747,-2.19722457733622
"113",3,12,"french","english",1,-0.133739075961057,-2.19722457733622
"114",4,12,"french","english",1,0.680551477025408,-2.19722457733622
"115",5,12,"french","english",1,-0.16058589878316,-2.19722457733622
"116",6,12,"french","english",1,-0.622485582574923,-2.19722457733622
"117",7,12,"french","english",1,0.483746654825741,-2.19722457733622
"118",8,12,"french","english",1,-0.376889218093206,-2.19722457733622
"119",9,12,"french","english",1,-0.625853798806966,-2.19722457733622
"120",10,12,"french","english",1,0.0295640770113542,-2.19722457733622
"121",1,13,"french","english",1,-0.0454978233338815,-2.19722457733622
"122",2,13,"french","english",1,0.0638194868742747,-2.19722457733622
"123",3,13,"french","english",1,-0.133739075961057,-2.19722457733622
"124",4,13,"french","english",1,0.680551477025408,-2.19722457733622
"125",5,13,"french","english",1,-0.16058589878316,-2.19722457733622
"126",6,13,"french","english",1,-0.622485582574923,-2.19722457733622
"127",7,13,"french","english",1,0.483746654825741,-2.19722457733622
"128",8,13,"french","english",1,-0.376889218093206,-2.19722457733622
"129",9,13,"french","english",1,-0.625853798806966,-2.19722457733622
"130",10,13,"french","english",1,0.0295640770113542,-2.19722457733622
"131",1,14,"french","english",1,-0.0454978233338815,-2.19722457733622
"132",2,14,"french","english",1,0.0638194868742747,-2.19722457733622
"133",3,14,"french","english",1,-0.133739075961057,-2.19722457733622
"134",4,14,"french","english",1,0.680551477025408,-2.19722457733622
"135",5,14,"french","english",1,-0.16058589878316,-2.19722457733622
"136",6,14,"french","english",1,-0.622485582574923,-2.19722457733622
"137",7,14,"french","english",1,0.483746654825741,-2.19722457733622
"138",8,14,"french","english",1,-0.376889218093206,-2.19722457733622
"139",9,14,"french","english",1,-0.625853798806966,-2.19722457733622
"140",10,14,"french","english",1,0.0295640770113542,-2.19722457733622
"141",1,15,"french","english",1,-0.0454978233338815,-2.19722457733622
"142",2,15,"french","english",1,0.0638194868742747,-2.19722457733622
"143",3,15,"french","english",1,-0.133739075961057,-2.19722457733622
"144",4,15,"french","english",1,0.680551477025408,-2.19722457733622
"145",5,15,"french","english",1,-0.16058589878316,-2.19722457733622
"146",6,15,"french","english",1,-0.622485582574923,-2.19722457733622
"147",7,15,"french","english",1,0.483746654825741,-2.19722457733622
"148",8,15,"french","english",1,-0.376889218093206,-2.19722457733622
"149",9,15,"french","english",1,-0.625853798806966,-2.19722457733622
"150",10,15,"french","english",1,0.0295640770113542,-2.19722457733622
"151",1,16,"french","english",1,-0.0454978233338815,-2.19722457733622
"152",2,16,"french","english",1,0.0638194868742747,-2.19722457733622
"153",3,16,"french","english",1,-0.133739075961057,-2.19722457733622
"154",4,16,"french","english",1,0.680551477025408,-2.19722457733622
"155",5,16,"french","english",1,-0.16058589878316,-2.19722457733622
"156",6,16,"french","english",1,-0.622485582574923,-2.19722457733622
"157",7,16,"french","english",1,0.483746654825741,-2.19722457733622
"158",8,16,"french","english",1,-0.376889218093206,-2.19722457733622
