"","word","participant","language","l1","step","u0s","b0"
"1",1,1,"german","english",4,0.627122414005815,-0.405465108108164
"2",2,1,"german","english",4,0.335671590503814,-0.405465108108164
"3",3,1,"german","english",4,0.201868003577068,-0.405465108108164
"4",4,1,"german","english",4,-0.177238610524267,-0.405465108108164
"5",5,1,"german","english",4,1.0091286355844,-0.405465108108164
"6",6,1,"german","english",4,0.360182617291818,-0.405465108108164
"7",7,1,"german","english",4,0.273432341823201,-0.405465108108164
"8",8,1,"german","english",4,0.0915028358106926,-0.405465108108164
"9",9,1,"german","english",4,-1.15935892513443,-0.405465108108164
"10",10,1,"german","english",4,0.171721771836452,-0.405465108108164
"11",1,2,"german","english",4,0.627122414005815,-0.405465108108164
"12",2,2,"german","english",4,0.335671590503814,-0.405465108108164
"13",3,2,"german","english",4,0.201868003577068,-0.405465108108164
"14",4,2,"german","english",4,-0.177238610524267,-0.405465108108164
"15",5,2,"german","english",4,1.0091286355844,-0.405465108108164
"16",6,2,"german","english",4,0.360182617291818,-0.405465108108164
"17",7,2,"german","english",4,0.273432341823201,-0.405465108108164
"18",8,2,"german","english",4,0.0915028358106926,-0.405465108108164
"19",9,2,"german","english",4,-1.15935892513443,-0.405465108108164
"20",10,2,"german","english",4,0.171721771836452,-0.405465108108164
"21",1,3,"german","english",4,0.627122414005815,-0.405465108108164
"22",2,3,"german","english",4,0.335671590503814,-0.405465108108164
"23",3,3,"german","english",4,0.201868003577068,-0.405465108108164
"24",4,3,"german","english",4,-0.177238610524267,-0.405465108108164
"25",5,3,"german","english",4,1.0091286355844,-0.405465108108164
"26",6,3,"german","english",4,0.360182617291818,-0.405465108108164
"27",7,3,"german","english",4,0.273432341823201,-0.405465108108164
"28",8,3,"german","english",4,0.0915028358106926,-0.405465108108164
"29",9,3,"german","english",4,-1.15935892513443,-0.405465108108164
"30",10,3,"german","english",4,0.171721771836452,-0.405465108108164
"31",1,4,"german","english",4,0.627122414005815,-0.405465108108164
"32",2,4,"german","english",4,0.335671590503814,-0.405465108108164
"33",3,4,"german","english",4,0.201868003577068,-0.405465108108164
"34",4,4,"german","english",4,-0.177238610524267,-0.405465108108164
"35",5,4,"german","english",4,1.0091286355844,-0.405465108108164
"36",6,4,"german","english",4,0.360182617291818,-0.405465108108164
"37",7,4,"german","english",4,0.273432341823201,-0.405465108108164
"38",8,4,"german","english",4,0.0915028358106926,-0.405465108108164
"39",9,4,"german","english",4,-1.15935892513443,-0.405465108108164
"40",10,4,"german","english",4,0.171721771836452,-0.405465108108164
"41",1,5,"german","english",4,0.627122414005815,-0.405465108108164
"42",2,5,"german","english",4,0.335671590503814,-0.405465108108164
"43",3,5,"german","english",4,0.201868003577068,-0.405465108108164
"44",4,5,"german","english",4,-0.177238610524267,-0.405465108108164
"45",5,5,"german","english",4,1.0091286355844,-0.405465108108164
"46",6,5,"german","english",4,0.360182617291818,-0.405465108108164
"47",7,5,"german","english",4,0.273432341823201,-0.405465108108164
"48",8,5,"german","english",4,0.0915028358106926,-0.405465108108164
"49",9,5,"german","english",4,-1.15935892513443,-0.405465108108164
"50",10,5,"german","english",4,0.171721771836452,-0.405465108108164
"51",1,6,"german","english",4,0.627122414005815,-0.405465108108164
"52",2,6,"german","english",4,0.335671590503814,-0.405465108108164
"53",3,6,"german","english",4,0.201868003577068,-0.405465108108164
"54",4,6,"german","english",4,-0.177238610524267,-0.405465108108164
"55",5,6,"german","english",4,1.0091286355844,-0.405465108108164
"56",6,6,"german","english",4,0.360182617291818,-0.405465108108164
"57",7,6,"german","english",4,0.273432341823201,-0.405465108108164
"58",8,6,"german","english",4,0.0915028358106926,-0.405465108108164
"59",9,6,"german","english",4,-1.15935892513443,-0.405465108108164
"60",10,6,"german","english",4,0.171721771836452,-0.405465108108164
"61",1,7,"german","english",4,0.627122414005815,-0.405465108108164
"62",2,7,"german","english",4,0.335671590503814,-0.405465108108164
"63",3,7,"german","english",4,0.201868003577068,-0.405465108108164
"64",4,7,"german","english",4,-0.177238610524267,-0.405465108108164
"65",5,7,"german","english",4,1.0091286355844,-0.405465108108164
"66",6,7,"german","english",4,0.360182617291818,-0.405465108108164
"67",7,7,"german","english",4,0.273432341823201,-0.405465108108164
"68",8,7,"german","english",4,0.0915028358106926,-0.405465108108164
"69",9,7,"german","english",4,-1.15935892513443,-0.405465108108164
"70",10,7,"german","english",4,0.171721771836452,-0.405465108108164
"71",1,8,"german","english",4,0.627122414005815,-0.405465108108164
"72",2,8,"german","english",4,0.335671590503814,-0.405465108108164
"73",3,8,"german","english",4,0.201868003577068,-0.405465108108164
"74",4,8,"german","english",4,-0.177238610524267,-0.405465108108164
"75",5,8,"german","english",4,1.0091286355844,-0.405465108108164
"76",6,8,"german","english",4,0.360182617291818,-0.405465108108164
"77",7,8,"german","english",4,0.273432341823201,-0.405465108108164
"78",8,8,"german","english",4,0.0915028358106926,-0.405465108108164
"79",9,8,"german","english",4,-1.15935892513443,-0.405465108108164
"80",10,8,"german","english",4,0.171721771836452,-0.405465108108164
"81",1,9,"german","english",4,0.627122414005815,-0.405465108108164
"82",2,9,"german","english",4,0.335671590503814,-0.405465108108164
"83",3,9,"german","english",4,0.201868003577068,-0.405465108108164
"84",4,9,"german","english",4,-0.177238610524267,-0.405465108108164
"85",5,9,"german","english",4,1.0091286355844,-0.405465108108164
"86",6,9,"german","english",4,0.360182617291818,-0.405465108108164
"87",7,9,"german","english",4,0.273432341823201,-0.405465108108164
"88",8,9,"german","english",4,0.0915028358106926,-0.405465108108164
"89",9,9,"german","english",4,-1.15935892513443,-0.405465108108164
"90",10,9,"german","english",4,0.171721771836452,-0.405465108108164
"91",1,10,"german","english",4,0.627122414005815,-0.405465108108164
"92",2,10,"german","english",4,0.335671590503814,-0.405465108108164
"93",3,10,"german","english",4,0.201868003577068,-0.405465108108164
"94",4,10,"german","english",4,-0.177238610524267,-0.405465108108164
"95",5,10,"german","english",4,1.0091286355844,-0.405465108108164
"96",6,10,"german","english",4,0.360182617291818,-0.405465108108164
"97",7,10,"german","english",4,0.273432341823201,-0.405465108108164
"98",8,10,"german","english",4,0.0915028358106926,-0.405465108108164
"99",9,10,"german","english",4,-1.15935892513443,-0.405465108108164
"100",10,10,"german","english",4,0.171721771836452,-0.405465108108164
"101",1,11,"german","english",4,0.627122414005815,-0.405465108108164
"102",2,11,"german","english",4,0.335671590503814,-0.405465108108164
"103",3,11,"german","english",4,0.201868003577068,-0.405465108108164
"104",4,11,"german","english",4,-0.177238610524267,-0.405465108108164
"105",5,11,"german","english",4,1.0091286355844,-0.405465108108164
"106",6,11,"german","english",4,0.360182617291818,-0.405465108108164
"107",7,11,"german","english",4,0.273432341823201,-0.405465108108164
"108",8,11,"german","english",4,0.0915028358106926,-0.405465108108164
"109",9,11,"german","english",4,-1.15935892513443,-0.405465108108164
"110",10,11,"german","english",4,0.171721771836452,-0.405465108108164
"111",1,12,"german","english",4,0.627122414005815,-0.405465108108164
"112",2,12,"german","english",4,0.335671590503814,-0.405465108108164
"113",3,12,"german","english",4,0.201868003577068,-0.405465108108164
"114",4,12,"german","english",4,-0.177238610524267,-0.405465108108164
"115",5,12,"german","english",4,1.0091286355844,-0.405465108108164
"116",6,12,"german","english",4,0.360182617291818,-0.405465108108164
"117",7,12,"german","english",4,0.273432341823201,-0.405465108108164
"118",8,12,"german","english",4,0.0915028358106926,-0.405465108108164
"119",9,12,"german","english",4,-1.15935892513443,-0.405465108108164
"120",10,12,"german","english",4,0.171721771836452,-0.405465108108164
"121",1,13,"german","english",4,0.627122414005815,-0.405465108108164
"122",2,13,"german","english",4,0.335671590503814,-0.405465108108164
"123",3,13,"german","english",4,0.201868003577068,-0.405465108108164
"124",4,13,"german","english",4,-0.177238610524267,-0.405465108108164
"125",5,13,"german","english",4,1.0091286355844,-0.405465108108164
"126",6,13,"german","english",4,0.360182617291818,-0.405465108108164
"127",7,13,"german","english",4,0.273432341823201,-0.405465108108164
"128",8,13,"german","english",4,0.0915028358106926,-0.405465108108164
"129",9,13,"german","english",4,-1.15935892513443,-0.405465108108164
"130",10,13,"german","english",4,0.171721771836452,-0.405465108108164
"131",1,14,"german","english",4,0.627122414005815,-0.405465108108164
"132",2,14,"german","english",4,0.335671590503814,-0.405465108108164
"133",3,14,"german","english",4,0.201868003577068,-0.405465108108164
"134",4,14,"german","english",4,-0.177238610524267,-0.405465108108164
"135",5,14,"german","english",4,1.0091286355844,-0.405465108108164
"136",6,14,"german","english",4,0.360182617291818,-0.405465108108164
"137",7,14,"german","english",4,0.273432341823201,-0.405465108108164
"138",8,14,"german","english",4,0.0915028358106926,-0.405465108108164
"139",9,14,"german","english",4,-1.15935892513443,-0.405465108108164
"140",10,14,"german","english",4,0.171721771836452,-0.405465108108164
"141",1,15,"german","english",4,0.627122414005815,-0.405465108108164
"142",2,15,"german","english",4,0.335671590503814,-0.405465108108164
"143",3,15,"german","english",4,0.201868003577068,-0.405465108108164
"144",4,15,"german","english",4,-0.177238610524267,-0.405465108108164
"145",5,15,"german","english",4,1.0091286355844,-0.405465108108164
"146",6,15,"german","english",4,0.360182617291818,-0.405465108108164
"147",7,15,"german","english",4,0.273432341823201,-0.405465108108164
"148",8,15,"german","english",4,0.0915028358106926,-0.405465108108164
"149",9,15,"german","english",4,-1.15935892513443,-0.405465108108164
"150",10,15,"german","english",4,0.171721771836452,-0.405465108108164
"151",1,16,"german","english",4,0.627122414005815,-0.405465108108164
"152",2,16,"german","english",4,0.335671590503814,-0.405465108108164
"153",3,16,"german","english",4,0.201868003577068,-0.405465108108164
"154",4,16,"german","english",4,-0.177238610524267,-0.405465108108164
"155",5,16,"german","english",4,1.0091286355844,-0.405465108108164
"156",6,16,"german","english",4,0.360182617291818,-0.405465108108164
"157",7,16,"german","english",4,0.273432341823201,-0.405465108108164
"158",8,16,"german","english",4,0.0915028358106926,-0.405465108108164
"159",9,16,"german","english",4,-1.15935892513443,-0.405465108108164
"160",10,16,"german","english",4,0.171721771836452,-0.405465108108164
"161",1,17,"german","english",4,0.627122414005815,-0.405465108108164
"162",2,17,"german","english",4,0.335671590503814,-0.405465108108164
"163",3,17,"german","english",4,0.201868003577068,-0.405465108108164
"164",4,17,"german","english",4,-0.177238610524267,-0.405465108108164
"165",5,17,"german","english",4,1.0091286355844,-0.405465108108164
"166",6,17,"german","english",4,0.360182617291818,-0.405465108108164
"167",7,17,"german","english",4,0.273432341823201,-0.405465108108164
"168",8,17,"german","english",4,0.0915028358106926,-0.405465108108164
"169",9,17,"german","english",4,-1.15935892513443,-0.405465108108164
"170",10,17,"german","english",4,0.171721771836452,-0.405465108108164
"171",1,18,"german","english",4,0.627122414005815,-0.405465108108164
"172",2,18,"german","english",4,0.335671590503814,-0.405465108108164
"173",3,18,"german","english",4,0.201868003577068,-0.405465108108164
"174",4,18,"german","english",4,-0.177238610524267,-0.405465108108164
"175",5,18,"german","english",4,1.0091286355844,-0.405465108108164
"176",6,18,"german","english",4,0.360182617291818,-0.405465108108164
"177",7,18,"german","english",4,0.273432341823201,-0.405465108108164
"178",8,18,"german","english",4,0.0915028358106926,-0.405465108108164
"179",9,18,"german","english",4,-1.15935892513443,-0.405465108108164
"180",10,18,"german","english",4,0.171721771836452,-0.405465108108164
"181",1,19,"german","english",4,0.627122414005815,-0.405465108108164
"182",2,19,"german","english",4,0.335671590503814,-0.405465108108164
"183",3,19,"german","english",4,0.201868003577068,-0.405465108108164
"184",4,19,"german","english",4,-0.177238610524267,-0.405465108108164
"185",5,19,"german","english",4,1.0091286355844,-0.405465108108164
"186",6,19,"german","english",4,0.360182617291818,-0.405465108108164
"187",7,19,"german","english",4,0.273432341823201,-0.405465108108164
"188",8,19,"german","english",4,0.0915028358106926,-0.405465108108164
"189",9,19,"german","english",4,-1.15935892513443,-0.405465108108164
"190",10,19,"german","english",4,0.171721771836452,-0.405465108108164
"191",1,20,"german","english",4,0.627122414005815,-0.405465108108164
"192",2,20,"german","english",4,0.335671590503814,-0.405465108108164
"193",3,20,"german","english",4,0.201868003577068,-0.405465108108164
"194",4,20,"german","english",4,-0.177238610524267,-0.405465108108164
"195",5,20,"german","english",4,1.0091286355844,-0.405465108108164
"196",6,20,"german","english",4,0.360182617291818,-0.405465108108164
"197",7,20,"german","english",4,0.273432341823201,-0.405465108108164
"198",8,20,"german","english",4,0.0915028358106926,-0.405465108108164
"199",9,20,"german","english",4,-1.15935892513443,-0.405465108108164
"200",10,20,"german","english",4,0.171721771836452,-0.405465108108164
"201",1,21,"german","english",4,0.627122414005815,-0.405465108108164
"202",2,21,"german","english",4,0.335671590503814,-0.405465108108164
"203",3,21,"german","english",4,0.201868003577068,-0.405465108108164
"204",4,21,"german","english",4,-0.177238610524267,-0.405465108108164
"205",5,21,"german","english",4,1.0091286355844,-0.405465108108164
